product_name,Pai - Bazar,Pai - Bebidas Alcoólicas,Pai - Bebidas Não Alcoólicas,Pai - HPC,Pai - Limpeza / Descartáveis,Pai - Mercearia Básica,Pai - Perecíveis,Pai - Têxtil,Pai- Mercearia Complementar,Pai-Hortifruti
Aparelho Descartável para Barbear Gillette Prestobarba Ultragrip3 Leve 4 Pague 3 Unidades,0,0,0,11,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba3 2 Unidades,0,0,0,45,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba3 Body Sense 2 Unidades,0,0,0,32,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba3 Ice 2 Unidades,0,0,0,9,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba3 Leve 4 Pague 3 Unidades,0,0,0,55,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba3 SenseCare 2 Unidades,0,0,0,4,0,0,0,0,0,0
Aparelho Descartável para Barbear Gillette Prestobarba3 SenseCare Leve 4 Pague 3 Unidades,0,0,0,8,0,0,0,0,0,0
Aparelho Descartável para Barbear Móvel Gillette Prestobarba Ultragrip 2 Unidades,0,0,0,346,0,0,0,0,0,0
Aparelho Descartável para Barbear Probak II Leve 7 Pague 5 Unidades,0,0,0,76,0,0,0,0,0,0
Aparelho Recarregável e Carga para Barbear Gillette Mach3,0,0,0,4,0,0,0,0,0,0
Aparelho Recarregável e Carga para Barbear Gillette Mach3 Sensitive,0,0,0,4,0,0,0,0,0,0
Aparelho Recarregável e Carga para Barbear Gillette Mach3 Turbo,0,0,0,4,0,0,0,0,0,0
Aparelho de Depilar Descartável Gillette Prestobarba Ultragrip 2 Unidades,0,0,0,45,0,0,0,0,0,0
Aparelho de Depilar Descartável Gillette Prestobarba3 2 Unidades,0,0,0,35,0,0,0,0,0,0
Aparelho de Depilar Descartável Gillette Venus Sensitive 2 Unidades,0,0,0,2,0,0,0,0,0,0
Aparelho de Depilar Descartável Gillette Venus Simply3 2 Unidades,0,0,0,5,0,0,0,0,0,0
Aparelho e Odorizador de Ambiente Cheirinho de Talco Click Spray Air Wick Bom Ar Blister 12ml,0,0,0,0,8,0,0,0,0,0
Aparelho e Odorizador de Ambiente Lavanda Click Spray Air Wick Bom Ar Blister 12ml,0,0,0,0,8,0,0,0,0,0
Aperitivo de Alcachofra Cynar Garrafa 900ml,0,1,0,0,0,0,0,0,0,0
Apresuntado Fatiado Perdigão 200g,0,0,0,0,0,0,1,0,0,0
Aroma de Fumaça Líquida Sabores Cepêra Squeeze 130ml,0,0,0,0,0,0,0,0,1,0
Assadeira Redonda Fosca Nigro Ø 30cm x 5cm,1,0,0,0,0,0,0,0,0,0
"Assadeira Redonda Fosca para Pizza Nigro Ø 35cm x 1,5cm",1,0,0,0,0,0,0,0,0,0
"Assadeira Retangular Marinex 34,6cm x 20,7cm x 5,2cm",1,0,0,0,0,0,0,0,0,0
Atum Ralado ao Molho de Tomate Gomes da Costa Lata 140g,0,0,0,0,0,0,0,0,193,0
Atum Ralado ao Molho de Tomate Picante Gomes da Costa Lata 140g,0,0,0,0,0,0,0,0,193,0
Atum Ralado ao Natural Gomes da Costa Lata 130g,0,0,0,0,0,0,0,0,193,0
Atum Ralado em Óleo 0% Gorduras Trans Gomes da Costa Lata 130g,0,0,0,0,0,0,0,0,193,0
Atum Sólido ao Natural Gomes da Costa Lata 120g,0,0,0,0,0,0,0,0,32,0
Atum Sólido em Óleo Gomes da Costa Lata 120g,0,0,0,0,0,0,0,0,32,0
Atum em Pedaços em Óleo Gomes da Costa Lata 120g 170g,0,0,0,0,0,0,0,0,23,0
Aveia em Flocos Finos Quaker Caixa 200g,0,0,0,0,0,0,0,0,19,0
Aveia em Flocos Quaker Caixa 200g,0,0,0,0,0,0,0,0,19,0
Azeite de Dendê Cepêra Vidro 100ml,0,0,0,0,0,3,0,0,0,0
Azeite de Oliva Extravirgem Clássico Espanhol Borges Vidro 500ml,0,0,0,0,0,15,0,0,0,0
Azeite de Oliva Extravirgem Clássico Português Gallo Vidro 250ml,0,0,0,0,0,46,0,0,0,0
Azeite de Oliva Extravirgem Espanhol Carbonell Vidro 500ml,0,0,0,0,0,1,0,0,0,0
Azeite de Oliva Extravirgem Espanhol La Española Vidro 500ml,0,0,0,0,0,14,0,0,0,0
Azeite de Oliva Extravirgem Português Gallo Vidro 500ml Edição Limitada,0,0,0,0,0,260,0,0,0,0
Azeite de Oliva Extravirgem Reserva Português Gallo Vidro 500ml,0,0,0,0,0,260,0,0,0,0
Azeite de Oliva Tipo Único Português Gallo Vidro 250ml,0,0,0,0,0,46,0,0,0,0
Azeite de Oliva Tipo Único Português Gallo Vidro 500ml,0,0,0,0,0,260,0,0,0,0
Azeitona Preta em Conserva com Caroço  Vale Fértil Vidro 200g,0,0,0,0,0,0,0,0,8,0
Azeitona Preta em Conserva com Caroço Vale Fértil Sachê 150g,0,0,0,0,0,0,0,0,37,0
Azeitona Verde em Conserva Fatiada Hemmer Sachê 150g,0,0,0,0,0,0,0,0,90,0
"Azeitona Verde em Conserva Fatiada Vale Fértil Sachê 1,01kg",0,0,0,0,0,0,0,0,16,0
Azeitona Verde em Conserva Fatiada Vale Fértil Sachê 120g,0,0,0,0,0,0,0,0,434,0
