,id,type,gender,sexo,pessoa,idade
40766,48677.0,F,M,2,0,31
40768,48679.0,F,M,2,0,15
40769,48680.0,F,F,1,0,37
40770,48681.0,F,F,1,0,46
40771,48682.0,F,M,2,0,26
40772,48683.0,F,M,2,0,25
40773,48684.0,F,F,1,0,15
40774,48685.0,F,M,2,0,28
40775,48686.0,F,F,1,0,15
40777,48688.0,F,F,1,0,27
40780,48691.0,F,M,2,0,41
40781,48692.0,F,M,2,0,28
40782,48693.0,F,M,2,0,43
40783,48694.0,F,F,1,0,26
40785,48696.0,F,M,2,0,47
40786,48697.0,F,F,1,0,15
40788,48699.0,F,F,1,0,24
40789,48700.0,F,F,1,0,26
40790,48701.0,F,F,1,0,15
40791,48702.0,F,F,1,0,28
40792,48703.0,F,M,2,0,25
40793,48704.0,F,M,2,0,15
40794,48705.0,F,M,2,0,28
40795,48706.0,F,M,2,0,15
40796,48707.0,F,F,1,0,15
40797,48708.0,F,F,1,0,25
40798,48709.0,F,F,1,0,35
40799,48710.0,F,F,1,0,26
40800,48711.0,F,M,2,0,26
40801,48712.0,F,M,2,0,15
40802,48713.0,F,F,1,0,15
40803,48714.0,F,M,2,0,43
40804,48715.0,F,F,1,0,41
40805,48716.0,F,M,2,0,31
40806,48717.0,F,F,1,0,37
40807,48718.0,F,F,1,0,38
40808,48719.0,F,M,2,0,35
40809,48720.0,F,M,2,0,24
40810,48721.0,F,F,1,0,15
40812,48723.0,F,M,2,0,38
40813,48724.0,F,M,2,0,40
40814,48725.0,F,M,2,0,28
40815,48726.0,F,F,1,0,31
40816,48727.0,F,F,1,0,15
40817,48728.0,F,F,1,0,45
40819,48730.0,F,F,1,0,43
40820,48731.0,F,M,2,0,15
40821,48732.0,F,F,1,0,15
40822,48733.0,F,M,2,0,40
40823,48734.0,F,F,1,0,42
40825,48736.0,F,F,1,0,15
40826,48737.0,F,F,1,0,15
40827,48738.0,F,F,1,0,30
40828,48739.0,F,M,2,0,15
40830,48741.0,F,M,2,0,34
40831,48742.0,F,F,1,0,15
40832,48743.0,F,F,1,0,47
40833,48744.0,F,M,2,0,31
40834,48745.0,F,F,1,0,34
40835,48746.0,F,F,1,0,15
40838,48749.0,F,F,1,0,29
40840,48751.0,F,F,1,0,38
40841,48752.0,F,M,2,0,45
40842,48753.0,F,F,1,0,29
40843,48754.0,F,F,1,0,45
40844,48755.0,F,M,2,0,40
40845,48756.0,F,M,2,0,46
40846,48757.0,F,F,1,0,15
40847,48758.0,F,M,2,0,15
